[00:00:00.012] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161118_155425.jpg -> /home/sgzmd/Downloads/Temp/2016/11/18/IMG_20161118_155425.jpg
[00:00:00.012] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_135345.jpg
[00:00:00.012] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_135345.jpg -> /home/sgzmd/Downloads/Temp/2016/12/15/IMG_20161215_135345.jpg
[00:00:00.012] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4818.jpg
[00:00:00.012] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4818.jpg -> /home/sgzmd/Downloads/Temp/2016/12/17/IMG_4818.jpg
[00:00:00.012] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161210_152458.jpg
[00:00:00.012] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161210_152458.jpg -> /home/sgzmd/Downloads/Temp/2016/12/10/IMG_20161210_152458.jpg
[00:00:00.013] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/00022IMG_00022_BURST20161126121830.jpg
[00:00:00.013] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/00022IMG_00022_BURST20161126121830.jpg -> /home/sgzmd/Downloads/Temp/2016/11/26/00022IMG_00022_BURST20161126121830.jpg
[00:00:00.013] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_142417.jpg
[00:00:00.013] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_142417.jpg -> /home/sgzmd/Downloads/Temp/2016/12/15/IMG_20161215_142417.jpg
[00:00:00.013] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161121_190523.jpg
[00:00:00.013] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161121_190523.jpg -> /home/sgzmd/Downloads/Temp/2016/11/21/IMG_20161121_190523.jpg
[00:00:00.013] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161115_182938.jpg
[00:00:00.013] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161115_182938.jpg -> /home/sgzmd/Downloads/Temp/2016/11/15/IMG_20161115_182938.jpg
